"GeneratedAtUtc","ComputerName","OverallStatus","CheckName","Category","Target","Status","Message","ObservedValue","WarningThreshold","CriticalThreshold","Recommendation","CheckDurationMs","Error","EvidenceJson"
"2026-07-23T08:39:53.5741674Z","SRV-APP-01","Critical","EventLog","Reliability","System","Critical","127 critical/error event(s) in 'System' during the last 24 hour(s).","127",">= 25 events",">= 100 events","Triage the highest-volume providers and correlate events with service impact and recent changes.","346.85","","{""LogName"":""System"",""Count"":127,""RetrievedCount"":127,""LookbackHours"":24,""Levels"":[1,2],""Truncated"":false,""TopProviders"":[{""Provider"":""Schannel"",""Count"":100},{""Provider"":""Microsoft-Windows-Time-Service"",""Count"":10},{""Provider"":""Microsoft-Windows-DistributedCOM"",""Count"":8},{""Provider"":""Microsoft-Windows-Security-Kerberos"",""Count"":6},{""Provider"":""Service Control Manager"",""Count"":3}],""Samples"":[{""TimeCreated"":""2026-07-23T07:16:30.4454330Z"",""Id"":11,""Level"":""Error"",""ProviderName"":""Microsoft-Windows-Security-Kerberos"",""Message"":null},{""TimeCreated"":""2026-07-23T06:03:59.4513868Z"",""Id"":5010,""Level"":""Error"",""ProviderName"":""Microsoft-Windows-Time-Service"",""Message"":null},{""TimeCreated"":""2026-07-23T06:03:59.4150376Z"",""Id"":5010,""Level"":""Error"",""ProviderName"":""Microsoft-Windows-Time-Service"",""Message"":null},{""TimeCreated"":""2026-07-23T06:03:00.6595226Z"",""Id"":5010,""Level"":""Error"",""ProviderName"":""Microsoft-Windows-Time-Service"",""Message"":null},{""TimeCreated"":""2026-07-23T06:02:59.4489764Z"",""Id"":5010,""Level"":""Error"",""ProviderName"":""Microsoft-Windows-Time-Service"",""Message"":null}],""QueryError"":""""}"
"2026-07-23T08:39:53.5741674Z","SRV-APP-01","Critical","EventLog","Reliability","Application","Healthy","22 critical/error event(s) in 'Application' during the last 24 hour(s).","22",">= 25 events",">= 100 events","","346.85","","{""LogName"":""Application"",""Count"":22,""RetrievedCount"":22,""LookbackHours"":24,""Levels"":[1,2],""Truncated"":false,""TopProviders"":[{""Provider"":"".NET Runtime"",""Count"":13},{""Provider"":""Universal Print"",""Count"":4},{""Provider"":""Application Error"",""Count"":2},{""Provider"":""Application Hang"",""Count"":1},{""Provider"":""SideBySide"",""Count"":1}],""Samples"":[{""TimeCreated"":""2026-07-23T07:14:51.6787556Z"",""Id"":1022,""Level"":""Error"",""ProviderName"":"".NET Runtime"",""Message"":null},{""TimeCreated"":""2026-07-23T07:12:51.5394745Z"",""Id"":1022,""Level"":""Error"",""ProviderName"":"".NET Runtime"",""Message"":null},{""TimeCreated"":""2026-07-23T07:02:10.7380332Z"",""Id"":1022,""Level"":""Error"",""ProviderName"":"".NET Runtime"",""Message"":null},{""TimeCreated"":""2026-07-23T06:58:04.9384144Z"",""Id"":1022,""Level"":""Error"",""ProviderName"":"".NET Runtime"",""Message"":null},{""TimeCreated"":""2026-07-23T06:18:08.6970391Z"",""Id"":1022,""Level"":""Error"",""ProviderName"":"".NET Runtime"",""Message"":null}],""QueryError"":""""}"
"2026-07-23T08:39:53.5741674Z","SRV-APP-01","Critical","Stability","Reliability","Operating system","Healthy","No crash indicators in the last 7 day(s).","0",">= 1 incident(s)",">= 3 incident(s)","","567.38","","{""IncidentCount"":0,""LookbackDays"":7,""Incidents"":[],""MinidumpCount"":0,""QueryErrors"":[]}"
"2026-07-23T08:39:53.5741674Z","SRV-APP-01","Critical","Storage","Reliability","Storage inventory","Healthy","1 of 1 physical disk(s) and 2 of 2 fixed volume(s) report healthy status.","3","","Health status must be Healthy","","2168.33","","{""PhysicalDisks"":[{""FriendlyName"":""Msft Virtual Disk"",""MediaType"":""SSD"",""HealthStatus"":""Healthy"",""OperationalStatus"":""OK"",""SizeGB"":953.87}],""FixedVolumes"":[{""DriveLetter"":""C"",""FileSystemLabel"":"""",""FileSystem"":""NTFS"",""HealthStatus"":""Healthy""},{""DriveLetter"":"""",""FileSystemLabel"":"""",""FileSystem"":""NTFS"",""HealthStatus"":""Healthy""}],""UnhealthyObjects"":0}"
"2026-07-23T08:39:53.5741674Z","SRV-APP-01","Critical","Dns","Connectivity","DNS targets","Skipped","No DNS targets are configured.","","","","Add required names under Checks.Dns.Targets to validate name resolution from the target host.","0","","{}"
"2026-07-23T08:39:53.5741674Z","SRV-APP-01","Critical","Tcp","Connectivity","TCP endpoints","Skipped","No TCP endpoints are configured.","","","","Add required host and port pairs under Checks.Tcp.Endpoints.","0","","{}"
"2026-07-23T08:39:53.5741674Z","SRV-APP-01","Critical","Tls","Security","TLS endpoints","Skipped","No TLS endpoints are configured.","","","","Add host entries under Checks.Tls.Endpoints to validate TLS handshakes, certificate identity, and expiry.","0","","{}"
"2026-07-23T08:40:13.8544201Z","SRV-RDS-02","Critical","Disk","Capacity","C:","Healthy","365.48 GB free (38.35%) of 953.03 GB on C: (unlabeled).","38.35% / 365.48 GB","<= 20% or <= 20 GB","<= 10% or <= 10 GB","","27.75","","{""DeviceId"":""C:"",""VolumeName"":"""",""FileSystem"":""NTFS"",""SizeBytes"":1023303217152,""FreeBytes"":392435392512,""FreeGB"":365.48,""FreePercent"":38.35}"
"2026-07-23T08:40:13.8544201Z","SRV-RDS-02","Critical","Memory","Capacity","Physical memory","Healthy","8.32 GB available (26.43%) of 31.47 GB physical memory.","26.43%","<= 20% available or >= 90% commit","<= 10% available or >= 95% commit","","406.08","","{""TotalBytes"":33785393152,""AvailableBytes"":8930238464,""TotalGB"":31.47,""AvailableGB"":8.32,""AvailablePercent"":26.43,""CommitLimitGB"":40.97,""CommitUsedGB"":31.81,""CommitUsedPercent"":77.66,""PageFileAllocatedMB"":null,""PageFileUsedMB"":null}"
"2026-07-23T08:40:13.8544201Z","SRV-RDS-02","Critical","Cpu","Capacity","Processor","Healthy","Average CPU load 35% across 3 sample(s).","35.0%",">= 85%",">= 95%","","5677.39","","{""AveragePercent"":35,""Samples"":[37,40,28],""SampleCount"":3,""LogicalProcessors"":22,""TopProcesses"":[{""Name"":""Memory Compression"",""Id"":4216,""WorkingSetMB"":1996.6},{""Name"":""msedge"",""Id"":24088,""WorkingSetMB"":767.9},{""Name"":""Teams"",""Id"":30628,""WorkingSetMB"":579.2},{""Name"":""svchost"",""Id"":15272,""WorkingSetMB"":538.5},{""Name"":""msedge"",""Id"":31544,""WorkingSetMB"":494.5}]}"
